platform,year,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,game_id
PS3,2015.0,Konami Digital Entertainment,0.21,0.18,0.22,0.08,0.7,396
X360,2015.0,Konami Digital Entertainment,0.12,0.08,0.0,0.02,0.21,396
PC,2015.0,Konami Digital Entertainment,0.0,0.07,0.0,0.0,0.08,396
DS,2009.0,Nintendo,1.43,0.94,0.74,0.27,3.38,397
PS,1998.0,Acclaim Entertainment,2.47,0.76,0.0,0.13,3.36,398
N64,1998.0,Acclaim Entertainment,1.08,0.24,0.0,0.02,1.33,398
N64,2000.0,Nintendo,1.9,0.67,0.73,0.06,3.36,399
DS,2008.0,Nintendo,0.65,1.61,0.82,0.28,3.36,400
PS,1998.0,THQ,1.63,1.53,0.0,0.18,3.34,401
DS,2006.0,Nintendo,0.0,0.99,2.32,0.02,3.33,403
PS2,2002.0,Electronic Arts,1.45,1.29,0.12,0.46,3.33,404
XB,2002.0,Electronic Arts,0.58,0.22,0.0,0.03,0.82,404
GC,2002.0,Electronic Arts,0.6,0.16,0.0,0.02,0.78,404
GBA,2003.0,Electronic Arts,0.1,0.04,0.0,0.0,0.13,404
PS2,2002.0,Sony Computer Entertainment,1.44,1.01,0.57,0.3,3.33,405
Wii,2012.0,Nintendo,1.15,1.17,0.76,0.24,3.32,406
PS2,2005.0,LucasArts,1.47,1.39,0.03,0.43,3.32,407
XB,2005.0,Activision,0.82,0.38,0.0,0.04,1.24,407
GBA,2005.0,Ubisoft,0.52,0.19,0.0,0.01,0.72,407
DS,2005.0,Ubisoft,0.25,0.03,0.0,0.03,0.31,407
PS2,2001.0,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31,408
XB,2001.0,Take-Two Interactive,0.98,0.19,0.0,0.05,1.22,408
GBA,2003.0,Take-Two Interactive,0.02,0.01,0.0,0.0,0.03,408
PC,2001.0,Take-Two Interactive,0.0,0.02,0.0,0.0,0.02,408
PS2,2003.0,Electronic Arts,1.5,1.28,0.05,0.46,3.28,409
XB,2003.0,Electronic Arts,0.71,0.38,0.0,0.05,1.14,409
GC,2003.0,Electronic Arts,0.53,0.14,0.0,0.02,0.69,409
GBA,2003.0,Electronic Arts,0.4,0.15,0.0,0.01,0.56,409
PS4,2015.0,Ubisoft,0.8,1.92,0.06,0.5,3.28,410
XOne,2015.0,Ubisoft,0.61,0.56,0.0,0.11,1.28,410
PC,2015.0,Ubisoft,0.1,0.08,0.0,0.02,0.2,410
PS2,2003.0,Activision,1.89,1.05,0.02,0.31,3.27,412
XB,2003.0,Activision,0.96,0.37,0.0,0.05,1.38,412
GC,2003.0,Activision,0.44,0.11,0.0,0.02,0.56,412
Wii,2008.0,Nintendo,1.36,1.13,0.46,0.32,3.27,413
PSP,2009.0,Sony Computer Entertainment,0.5,1.59,0.31,0.87,3.27,414
3DS,2015.0,Capcom,0.25,0.19,2.78,0.04,3.26,415
PS,1995.0,Sony Computer Entertainment,0.95,1.3,0.77,0.22,3.24,416
PS3,2011.0,Take-Two Interactive,1.27,1.33,0.12,0.51,3.23,418
X360,2011.0,Take-Two Interactive,1.52,0.94,0.02,0.24,2.72,418
PS4,2015.0,Electronic Arts,2.33,0.3,0.0,0.59,3.22,419
XOne,2015.0,Electronic Arts,2.07,0.08,0.0,0.26,2.4,419
X360,2015.0,Electronic Arts,0.82,0.05,0.0,0.1,0.98,419
PS3,2015.0,Electronic Arts,0.56,0.11,0.0,0.15,0.82,419
3DS,2014.0,Nintendo,0.03,0.0,3.18,0.0,3.22,420
PS,1999.0,Electronic Arts,1.72,1.33,0.0,0.16,3.21,421
NES,1983.0,Nintendo,0.73,0.1,2.35,0.02,3.2,422
GB,1989.0,Nintendo,0.66,0.27,0.65,0.03,1.61,422
SNES,1995.0,Nintendo,2.26,0.72,0.12,0.1,3.2,423
PS,2000.0,THQ,1.76,1.21,0.07,0.16,3.2,424
PSP,2007.0,Square Enix,1.35,0.6,0.8,0.44,3.19,425
PSP,2008.0,Sony Computer Entertainment,1.48,1.01,0.04,0.66,3.19,426
SNES,1995.0,Enix Corporation,0.0,0.0,3.19,0.0,3.19,427
X360,2010.0,MTV Games,2.15,0.77,0.01,0.26,3.19,428
PS2,2003.0,Atari,1.78,1.12,0.09,0.19,3.18,429
XB,2003.0,Atari,0.72,0.43,0.01,0.04,1.2,429
GC,2003.0,Atari,0.34,0.09,0.02,0.01,0.45,429
WiiU,2015.0,Nintendo,1.18,0.87,0.93,0.2,3.18,430
DS,2008.0,Nintendo,0.58,0.51,1.93,0.14,3.17,433
Wii,,Unknown,0.13,0.0,0.77,0.01,0.9,433
PS2,2001.0,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,434
DS,2008.0,Disney Interactive Studios,1.88,0.98,0.0,0.3,3.16,435
GC,2001.0,Nintendo,1.92,0.16,0.99,0.09,3.15,436
DS,2005.0,Sega,1.22,1.57,0.06,0.29,3.15,438
PS3,2012.0,Capcom,0.88,0.97,0.88,0.42,3.15,439
X360,2012.0,Capcom,1.11,0.63,0.07,0.16,1.98,439
PS4,2016.0,Capcom,0.05,0.0,0.0,0.01,0.07,439
PC,2012.0,Capcom,0.0,0.04,0.0,0.01,0.04,439
XOne,2016.0,Capcom,0.03,0.0,0.0,0.0,0.04,439
XOne,2014.0,Microsoft Game Studios,1.89,0.99,0.03,0.24,3.15,440
PS2,2007.0,Electronic Arts,0.68,0.0,0.0,2.46,3.14,441
PS3,2007.0,Electronic Arts,0.35,1.07,0.02,0.32,1.76,441
