platform,year,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,game_id
PS2,2002.0,Ubisoft,1.42,0.4,0.0,0.12,1.94,885
XB,2002.0,Ubisoft,1.23,0.46,0.0,0.07,1.76,885
GC,2003.0,Ubisoft,0.11,0.03,0.0,0.0,0.15,885
Wii,2010.0,Ubisoft,0.11,0.01,0.0,0.01,0.14,885
PS2,2004.0,Activision,1.0,0.72,0.0,0.21,1.93,886
XB,2004.0,Activision,0.62,0.24,0.0,0.04,0.9,886
GC,2004.0,Activision,0.41,0.11,0.0,0.01,0.53,886
SNES,1993.0,Acclaim Entertainment,1.48,0.39,0.0,0.06,1.93,889
SAT,1995.0,Sega,0.34,0.26,1.3,0.03,1.93,890
GB,1998.0,Nintendo,1.06,0.6,0.2,0.07,1.93,891
Wii,2008.0,Nintendo,1.51,0.0,0.29,0.12,1.93,894
GB,2001.0,Nintendo,0.92,0.53,0.41,0.06,1.92,896
PS2,2001.0,THQ,0.76,0.96,0.0,0.2,1.92,899
PC,2003.0,Electronic Arts,1.03,0.8,0.0,0.09,1.92,900
PS2,2004.0,THQ,0.94,0.73,0.0,0.25,1.92,901
XB,2004.0,THQ,0.34,0.08,0.0,0.02,0.44,901
PS,1996.0,Sony Computer Entertainment,0.26,0.16,1.46,0.03,1.92,902
PSP,2006.0,Sony Computer Entertainment,0.1,0.0,0.02,0.01,0.14,902
Wii,2009.0,Disney Interactive Studios,1.06,0.67,0.0,0.18,1.92,903
N64,2000.0,Nintendo,0.72,0.16,1.01,0.02,1.91,904
Wii,2008.0,Midway Games,1.3,0.44,0.0,0.17,1.91,906
PS4,2015.0,Activision,0.77,0.78,0.04,0.31,1.91,907
XOne,2015.0,Activision,0.82,0.23,0.0,0.11,1.17,907
PS3,2015.0,Activision,0.16,0.17,0.02,0.06,0.41,907
X360,2015.0,Activision,0.22,0.12,0.0,0.03,0.38,907
Wii,2011.0,LucasArts,1.08,0.66,0.0,0.17,1.91,908
X360,2011.0,LucasArts,0.84,0.54,0.0,0.13,1.51,908
PS3,2011.0,LucasArts,0.52,0.49,0.0,0.2,1.2,908
DS,2011.0,LucasArts,0.66,0.39,0.0,0.11,1.16,908
3DS,2011.0,LucasArts,0.61,0.43,0.0,0.09,1.13,908
PSP,2011.0,LucasArts,0.14,0.17,0.0,0.09,0.39,908
PC,2011.0,LucasArts,0.1,0.13,0.0,0.03,0.26,908
GC,2001.0,LucasArts,1.03,0.75,0.03,0.09,1.9,909
PS3,2012.0,Take-Two Interactive,0.59,0.92,0.06,0.32,1.9,910
X360,2012.0,Take-Two Interactive,0.86,0.64,0.01,0.14,1.66,910
PC,2012.0,Take-Two Interactive,0.15,0.22,0.0,0.06,0.43,910
PS4,2013.0,Electronic Arts,0.73,0.91,0.03,0.22,1.89,911
PS3,2013.0,Electronic Arts,0.33,0.74,0.05,0.31,1.44,911
X360,2013.0,Electronic Arts,0.37,0.38,0.01,0.08,0.84,911
XOne,2013.0,Electronic Arts,0.45,0.17,0.0,0.05,0.67,911
PC,2013.0,Electronic Arts,0.04,0.19,0.0,0.04,0.27,911
3DS,2013.0,Nintendo,0.21,0.3,1.33,0.04,1.89,913
PS3,2009.0,Sony Computer Entertainment,1.05,0.54,0.03,0.26,1.88,914
PS,1999.0,Konami Digital Entertainment,1.37,0.44,0.0,0.08,1.88,915
PS2,2004.0,Midway Games,0.92,0.72,0.0,0.24,1.88,916
XB,2004.0,Midway Games,0.61,0.12,0.0,0.03,0.76,916
GC,2005.0,Midway Games,0.09,0.02,0.0,0.0,0.11,916
PS,1999.0,Sony Computer Entertainment,0.25,0.12,1.48,0.03,1.88,917
PS2,2005.0,Electronic Arts,0.89,0.69,0.09,0.21,1.88,918
PS,1998.0,THQ,1.42,0.36,0.03,0.07,1.88,919
N64,1998.0,THQ,0.17,0.04,0.0,0.0,0.21,919
PS2,2007.0,Disney Interactive Studios,0.47,0.08,0.0,1.33,1.87,920
Wii,2007.0,Disney Interactive Studios,1.16,0.45,0.0,0.16,1.77,920
GC,2002.0,Nintendo,0.96,0.53,0.3,0.09,1.87,921
PS,1998.0,Electronic Arts,0.22,1.47,0.04,0.14,1.87,922
PS2,2001.0,THQ,0.53,0.16,1.07,0.1,1.87,923
XB,2002.0,THQ,0.06,0.02,0.0,0.0,0.08,923
GB,2001.0,Nintendo,0.87,0.52,0.41,0.06,1.86,925
PS2,2004.0,Activision,1.12,0.69,0.03,0.02,1.86,927
GC,2004.0,Activision,0.73,0.26,0.01,0.03,1.02,927
XB,2004.0,Activision,0.4,0.13,0.0,0.02,0.55,927
PS,1999.0,Sony Computer Entertainment,0.94,0.44,0.39,0.1,1.86,928
N64,1997.0,Acclaim Entertainment,1.37,0.41,0.04,0.04,1.86,929
PS2,2004.0,Sony Computer Entertainment,0.0,1.37,0.0,0.49,1.86,930
PS3,2007.0,Sony Computer Entertainment,0.45,0.58,0.0,0.13,1.16,930
PS4,2014.0,Sony Computer Entertainment,0.64,0.92,0.01,0.29,1.86,931
PS3,2014.0,Sony Computer Entertainment,0.2,0.43,0.01,0.11,0.75,931
PS2,2001.0,Electronic Arts,0.91,0.71,0.0,0.24,1.86,932
PS,2001.0,Electronic Arts,0.29,0.19,0.0,0.03,0.52,932
XB,2001.0,Electronic Arts,0.35,0.03,0.0,0.02,0.4,932
DS,2009.0,Disney Interactive Studios,1.34,0.37,0.0,0.15,1.86,933
PS,1999.0,SquareSoft,0.62,0.42,0.69,0.12,1.86,934
Wii,2010.0,Activision,0.85,0.71,0.13,0.16,1.86,935
DS,2010.0,Activision,0.11,0.03,0.0,0.01,0.15,935
3DS,2013.0,Nintendo,0.61,0.59,0.55,0.11,1.85,936
PS2,2004.0,Sony Computer Entertainment,1.33,0.49,0.0,0.03,1.85,937
Wii,2007.0,Ubisoft,0.83,0.82,0.0,0.2,1.85,938
DS,2007.0,Ubisoft,0.73,0.01,0.0,0.06,0.8,938
GBA,2004.0,Square Enix,1.26,0.18,0.35,0.06,1.85,939
NES,1984.0,Nintendo,0.8,0.19,0.83,0.03,1.85,940
PS3,2011.0,Sony Computer Entertainment,1.05,0.49,0.08,0.23,1.85,941
PS2,2001.0,Unknown,0.0,1.1,0.42,0.33,1.84,942
PS3,2009.0,Namco Bandai Games,0.97,0.34,0.35,0.18,1.84,943
PS2,2005.0,Electronic Arts,1.53,0.05,0.0,0.25,1.84,944
XB,2005.0,Electronic Arts,0.73,0.21,0.0,0.03,0.97,944
N64,1998.0,Nintendo,0.83,0.06,0.93,0.0,1.83,945
GBA,2005.0,THQ,1.31,0.49,0.0,0.03,1.83,946
PC,2012.0,Activision,0.84,0.76,0.0,0.23,1.83,947
PS,1996.0,Sony Computer Entertainment,1.33,0.4,0.03,0.07,1.83,948
PS4,2015.0,Square Enix,0.46,1.02,0.07,0.28,1.83,949
XOne,2015.0,Square Enix,0.42,0.38,0.0,0.07,0.88,949
PC,2015.0,Square Enix,0.03,0.11,0.0,0.01,0.14,949
SNES,1993.0,SquareSoft,0.25,0.07,1.49,0.02,1.83,950
X360,2007.0,Electronic Arts,1.09,0.54,0.02,0.17,1.83,951
PS3,2007.0,Electronic Arts,0.28,0.59,0.0,0.22,1.08,951
PC,2007.0,Electronic Arts,0.0,0.11,0.0,0.03,0.14,951
PS,1995.0,Sony Computer Entertainment,0.92,0.33,0.52,0.05,1.83,952
3DS,2014.0,Nintendo,0.61,0.34,0.79,0.09,1.82,953
GEN,1994.0,Sega,1.24,0.43,0.03,0.12,1.82,954
PC,2001.0,Electronic Arts,1.81,0.0,0.0,0.0,1.82,956
Wii,2007.0,Nintendo,0.91,0.74,0.07,0.09,1.82,957
DS,2010.0,Nintendo,0.22,0.21,1.35,0.03,1.81,958
PS4,2014.0,Bethesda Softworks,0.55,0.84,0.11,0.31,1.81,959
PS3,2014.0,Bethesda Softworks,0.26,0.39,0.12,0.14,0.92,959
XOne,2014.0,Bethesda Softworks,0.35,0.25,0.0,0.05,0.65,959
X360,2014.0,Bethesda Softworks,0.25,0.2,0.01,0.04,0.5,959
PC,2014.0,Bethesda Softworks,0.09,0.16,0.0,0.02,0.27,959
PS2,2003.0,Konami Digital Entertainment,1.05,0.59,0.0,0.18,1.81,960
PS2,2002.0,Sega,0.78,0.44,0.56,0.04,1.81,962
PS2,2004.0,Sony Computer Entertainment,0.88,0.69,0.0,0.23,1.81,963
PS3,2010.0,Sony Computer Entertainment,0.0,0.05,0.0,0.02,0.07,963
GBA,2002.0,Sega,0.93,0.59,0.21,0.07,1.8,965
PS,1999.0,989 Studios,1.0,0.68,0.0,0.12,1.8,968
SNES,1994.0,Virgin Interactive,1.26,0.39,0.08,0.06,1.79,970
GEN,1994.0,Virgin Interactive,0.97,0.37,0.03,0.05,1.41,970
PS3,2013.0,Sony Computer Entertainment,0.52,0.88,0.06,0.34,1.79,971
X360,2012.0,Microsoft Game Studios,1.05,0.57,0.03,0.14,1.78,972
PS2,2003.0,Take-Two Interactive,1.25,0.29,0.0,0.24,1.78,973
XB,2003.0,Take-Two Interactive,0.42,0.06,0.0,0.02,0.5,973
DS,2006.0,Square Enix,0.23,0.03,1.49,0.03,1.78,974
PS,2001.0,THQ,1.12,0.58,0.0,0.08,1.78,975
GBA,2001.0,THQ,0.39,0.15,0.0,0.01,0.55,975
PS2,2004.0,Sony Computer Entertainment,0.39,1.01,0.02,0.36,1.78,976
3DS,2011.0,Nintendo,0.32,0.95,0.36,0.14,1.78,977
PS3,2010.0,Square Enix,0.45,0.94,0.06,0.33,1.78,978
X360,2010.0,Square Enix,0.59,0.85,0.02,0.17,1.62,978
PC,2010.0,Square Enix,0.0,0.1,0.0,0.03,0.13,978
PS3,2012.0,Capcom,0.41,0.46,0.72,0.19,1.78,979
X360,2012.0,Capcom,0.42,0.24,0.07,0.06,0.8,979
PS2,2005.0,Vivendi Games,0.85,0.76,0.0,0.16,1.77,981
XB,2005.0,Vivendi Games,0.33,0.1,0.0,0.02,0.44,981
PSP,2006.0,Vivendi Games,0.08,0.0,0.0,0.01,0.09,981
WiiU,2013.0,Nintendo,0.31,0.54,0.84,0.08,1.77,983
SNES,1991.0,Square,0.24,0.09,1.33,0.12,1.77,985
NES,1988.0,SquareSoft,0.0,0.0,0.76,0.0,0.76,985
WS,2001.0,SquareSoft,0.0,0.0,0.25,0.0,0.25,985
N64,2000.0,Nintendo,0.63,0.06,1.03,0.04,1.77,986
XB,2001.0,Microsoft Game Studios,1.19,0.29,0.24,0.06,1.77,987
GB,1991.0,Nintendo,0.85,0.31,0.56,0.04,1.76,989
PS,1998.0,Acclaim Entertainment,1.27,0.42,0.0,0.07,1.76,990
N64,1999.0,Acclaim Entertainment,0.57,0.13,0.0,0.01,0.71,990
PS2,2004.0,THQ,1.06,0.54,0.0,0.16,1.76,991
GBA,2004.0,THQ,1.02,0.38,0.0,0.06,1.46,991
GC,2004.0,THQ,0.73,0.19,0.0,0.03,0.94,991
XB,2004.0,THQ,0.4,0.12,0.0,0.02,0.54,991
GBA,2001.0,Nintendo,0.93,0.38,0.4,0.06,1.76,992
GEN,1994.0,Sega,1.02,0.47,0.2,0.07,1.76,993
NES,1986.0,Nintendo,0.53,0.12,1.09,0.02,1.76,994
PS2,2004.0,Electronic Arts,0.86,0.67,0.0,0.22,1.76,995
XB,,Electronic Arts,0.43,0.1,0.0,0.02,0.54,995
GC,2004.0,Electronic Arts,0.17,0.05,0.0,0.01,0.22,995
PS2,2002.0,Take-Two Interactive,0.86,0.67,0.0,0.22,1.76,997
XB,2003.0,Take-Two Interactive,0.13,0.04,0.0,0.01,0.17,997
GBA,2007.0,THQ,1.26,0.47,0.0,0.03,1.76,1000
PS2,2004.0,Electronic Arts,0.52,0.95,0.0,0.29,1.76,1002
GBA,2004.0,Electronic Arts,0.37,0.22,0.0,0.03,0.62,1002
GC,2004.0,Electronic Arts,0.24,0.14,0.0,0.02,0.4,1002
XB,2004.0,Electronic Arts,0.22,0.11,0.0,0.01,0.34,1002
PS2,2001.0,Activision,0.61,0.87,0.02,0.26,1.76,1004
PS,1998.0,Electronic Arts,1.68,0.04,0.0,0.04,1.75,1005
N64,1999.0,Electronic Arts,0.58,0.02,0.0,0.0,0.61,1005
PS2,2001.0,Konami Digital Entertainment,0.06,0.9,0.53,0.27,1.75,1008
X360,2007.0,Microsoft Game Studios,1.0,0.54,0.03,0.18,1.75,1009
NES,1991.0,Nintendo,0.7,0.13,0.91,0.01,1.75,1010
GB,1991.0,Nintendo,0.0,0.0,0.73,0.0,0.73,1010
SNES,1993.0,Capcom,0.94,0.34,0.21,0.27,1.75,1011
GBA,2003.0,Capcom,0.02,0.01,0.0,0.0,0.03,1011
NES,1993.0,Nintendo,0.79,0.14,0.8,0.02,1.75,1012
DS,2009.0,505 Games,0.83,0.66,0.08,0.18,1.75,1013
PS2,2008.0,Konami Digital Entertainment,0.85,0.66,0.01,0.22,1.75,1014
GBA,2004.0,THQ,1.25,0.46,0.0,0.03,1.75,1015
PS,1999.0,LucasArts,0.72,0.89,0.04,0.1,1.74,1016
PS2,2002.0,Namco Bandai Games,0.63,0.49,0.45,0.17,1.74,1017
Wii,2009.0,MTV Games,1.19,0.4,0.0,0.16,1.74,1019
X360,2009.0,MTV Games,0.97,0.23,0.0,0.11,1.31,1019
PS3,2009.0,MTV Games,0.67,0.3,0.0,0.15,1.13,1019
XOne,2015.0,Microsoft Game Studios,0.69,0.89,0.03,0.14,1.74,1020
Wii,2010.0,Sega,0.96,0.61,0.01,0.16,1.74,1021
DS,2010.0,Sega,0.74,0.5,0.01,0.13,1.37,1021
N64,1996.0,Nintendo,1.69,0.04,0.0,0.01,1.74,1022
PS,1998.0,Electronic Arts,1.66,0.04,0.0,0.04,1.74,1023
N64,1998.0,Electronic Arts,0.84,0.05,0.0,0.01,0.9,1023
PSV,2011.0,Sony Computer Entertainment,0.59,0.75,0.13,0.27,1.74,1025
PS2,2001.0,Electronic Arts,0.85,0.66,0.0,0.22,1.73,1027
GC,2001.0,Electronic Arts,0.42,0.11,0.0,0.01,0.54,1027
XB,2001.0,Electronic Arts,0.32,0.09,0.0,0.02,0.43,1027
GBA,2002.0,Electronic Arts,0.14,0.05,0.0,0.0,0.19,1027
PS4,2016.0,Activision,0.64,0.68,0.14,0.26,1.73,1028
XOne,2016.0,Activision,0.52,0.25,0.0,0.08,0.85,1028
PC,2016.0,Activision,0.22,0.18,0.0,0.04,0.43,1028
PS,1998.0,989 Studios,1.48,0.2,0.0,0.05,1.73,1029
Wii,2013.0,Disney Interactive Studios,1.15,0.44,0.0,0.14,1.73,1031
X360,2013.0,Disney Interactive Studios,0.96,0.37,0.0,0.11,1.43,1031
PS3,2013.0,Disney Interactive Studios,0.48,0.35,0.0,0.16,1.0,1031
WiiU,2013.0,Disney Interactive Studios,0.33,0.22,0.0,0.05,0.6,1031
3DS,2013.0,Disney Interactive Studios,0.16,0.1,0.0,0.02,0.29,1031
PSV,2013.0,Disney Interactive Studios,0.05,0.0,0.0,0.02,0.07,1031
GBA,2002.0,Universal Interactive,0.95,0.7,0.0,0.08,1.73,1032
X360,2012.0,Bethesda Softworks,1.06,0.52,0.01,0.14,1.73,1033
PS3,2012.0,Bethesda Softworks,0.72,0.54,0.04,0.25,1.55,1033
PC,2012.0,Bethesda Softworks,0.26,0.19,0.0,0.06,0.51,1033
PS4,2015.0,Bethesda Softworks,0.11,0.18,0.02,0.06,0.37,1033
XOne,2015.0,Bethesda Softworks,0.08,0.05,0.0,0.01,0.14,1033
PS4,2015.0,Sony Computer Entertainment,0.61,0.78,0.06,0.27,1.72,1035
PS4,2015.0,Bethesda Softworks,0.66,0.78,0.0,0.28,1.72,1036
XOne,2015.0,Bethesda Softworks,0.77,0.38,0.0,0.12,1.27,1036
PC,2014.0,Bethesda Softworks,0.32,0.48,0.0,0.09,0.9,1036
PS2,2008.0,Activision,0.61,0.18,0.0,0.94,1.72,1037
DS,2008.0,Ubisoft,0.7,0.83,0.0,0.19,1.72,1038
PS2,2003.0,Ubisoft,0.8,0.21,0.55,0.15,1.72,1041
PC,2010.0,Electronic Arts,0.59,0.87,0.0,0.25,1.71,1042
Wii,2009.0,Warner Bros. Interactive Entertainment,1.43,0.16,0.0,0.12,1.71,1043
PS,1998.0,Activision,0.99,0.64,0.0,0.08,1.71,1044
N64,1999.0,Activision,0.71,0.2,0.0,0.01,0.93,1044
DS,2007.0,Mindscape,1.15,0.41,0.0,0.15,1.71,1045
Wii,2009.0,Zoo Games,1.22,0.0,0.0,0.09,1.31,1045
PC,2006.0,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,1045
PS2,2004.0,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,1046
DS,2006.0,Nintendo,0.0,0.0,1.71,0.0,1.71,1048
Wii,2009.0,Activision Value,1.58,0.0,0.0,0.12,1.7,1050
PS3,2009.0,Activision Value,0.37,0.0,0.0,0.03,0.4,1050
X360,2009.0,Activision Value,0.25,0.0,0.0,0.02,0.27,1050
PS4,2014.0,Ubisoft,0.34,1.08,0.03,0.26,1.7,1051
XOne,2014.0,Ubisoft,0.24,0.34,0.0,0.05,0.63,1051
X360,2014.0,Ubisoft,0.06,0.18,0.0,0.02,0.26,1051
PC,2014.0,Ubisoft,0.0,0.15,0.0,0.01,0.16,1051
Wii,2008.0,Namco Bandai Games,0.99,0.42,0.14,0.15,1.7,1053
DS,2007.0,Nintendo,0.49,1.12,0.0,0.09,1.7,1054
Wii,2011.0,Nintendo,0.62,0.21,0.79,0.08,1.7,1055
SNES,1993.0,Banpresto,0.0,0.0,1.69,0.01,1.7,1056
DS,2007.0,D3Publisher,0.69,0.83,0.0,0.19,1.7,1057
Wii,2007.0,D3Publisher,0.55,0.55,0.0,0.13,1.23,1057
PS2,2007.0,D3Publisher,0.09,0.0,0.0,0.74,0.84,1057
PSP,2007.0,D3Publisher,0.23,0.31,0.0,0.18,0.72,1057
PS2,2006.0,Electronic Arts,1.41,0.05,0.0,0.23,1.7,1058
X360,2006.0,Electronic Arts,0.67,0.0,0.0,0.06,0.73,1058
XB,2006.0,Electronic Arts,0.42,0.12,0.0,0.01,0.56,1058
PSP,2006.0,Electronic Arts,0.34,0.0,0.0,0.03,0.37,1058
PS2,2005.0,Sony Computer Entertainment,1.22,0.34,0.04,0.1,1.69,1059
X360,2013.0,Deep Silver,1.01,0.53,0.01,0.14,1.69,1062
PS3,2013.0,Deep Silver,0.56,0.44,0.09,0.21,1.3,1062
PS4,2015.0,Deep Silver,0.13,0.17,0.03,0.06,0.38,1062
XOne,2015.0,Deep Silver,0.1,0.09,0.0,0.02,0.2,1062
PC,2013.0,Deep Silver,0.11,0.06,0.0,0.02,0.19,1062
PS,1999.0,Sony Computer Entertainment,0.94,0.64,0.0,0.11,1.69,1063
N64,1997.0,THQ,1.37,0.28,0.03,0.02,1.69,1066
PS,1998.0,THQ,1.1,0.48,0.04,0.07,1.69,1067
GBA,2002.0,Infogrames,1.52,0.12,0.0,0.05,1.69,1070
PC,2010.0,Take-Two Interactive,0.98,0.52,0.0,0.19,1.69,1071
PSV,2012.0,Activision,0.8,0.52,0.07,0.3,1.69,1073
PSP,2007.0,LucasArts,0.9,0.47,0.0,0.32,1.68,1074
PS2,2006.0,Oxygen Interactive,0.82,0.64,0.0,0.22,1.68,1075
X360,2006.0,Oxygen Interactive,0.04,0.0,0.0,0.0,0.05,1075
PS,1997.0,Sony Computer Entertainment,1.58,0.06,0.0,0.04,1.68,1076
X360,2012.0,Warner Bros. Interactive Entertainment,0.9,0.64,0.0,0.15,1.68,1077
Wii,2012.0,Warner Bros. Interactive Entertainment,0.94,0.4,0.0,0.11,1.46,1077
PS3,2012.0,Warner Bros. Interactive Entertainment,0.5,0.53,0.0,0.2,1.22,1077
DS,2012.0,Warner Bros. Interactive Entertainment,0.43,0.27,0.0,0.06,0.77,1077
3DS,2012.0,Warner Bros. Interactive Entertainment,0.41,0.27,0.0,0.06,0.74,1077
PSV,2012.0,Warner Bros. Interactive Entertainment,0.17,0.13,0.0,0.06,0.37,1077
WiiU,2013.0,Warner Bros. Interactive Entertainment,0.05,0.07,0.0,0.01,0.13,1077
GB,1992.0,Nintendo,0.59,0.24,0.82,0.03,1.68,1078
NES,1992.0,Nintendo,0.41,0.06,0.63,0.02,1.12,1078
PS,1997.0,Namco Bandai Games,0.38,0.87,0.33,0.1,1.68,1079
PC,2003.0,Electronic Arts,1.67,0.0,0.0,0.0,1.68,1080
Wii,2008.0,LucasArts,1.23,0.3,0.0,0.14,1.68,1081
GBA,2002.0,Nintendo,1.18,0.27,0.17,0.06,1.68,1083
Wii,2008.0,Ubisoft,0.94,0.57,0.0,0.17,1.67,1084
PS2,2003.0,Electronic Arts,0.93,0.52,0.0,0.22,1.67,1085
XB,2003.0,Electronic Arts,0.29,0.08,0.0,0.01,0.39,1085
GC,2003.0,Electronic Arts,0.29,0.08,0.0,0.01,0.38,1085
GBA,2003.0,Electronic Arts,0.09,0.03,0.0,0.0,0.12,1085
Wii,2008.0,THQ,0.45,1.02,0.0,0.2,1.67,1086
PS,2000.0,Electronic Arts,1.58,0.05,0.0,0.04,1.67,1087
PS2,2000.0,Electronic Arts,1.19,0.07,0.05,0.2,1.5,1087
N64,2000.0,Electronic Arts,0.6,0.03,0.0,0.01,0.64,1087
PS3,2006.0,Electronic Arts,0.81,0.59,0.01,0.26,1.67,1088
PS2,2006.0,Electronic Arts,1.07,0.4,0.0,0.1,1.56,1088
X360,2006.0,Electronic Arts,1.33,0.03,0.01,0.1,1.47,1088
PSP,2006.0,Electronic Arts,0.46,0.02,0.0,0.05,0.52,1088
XB,2006.0,Electronic Arts,0.26,0.06,0.0,0.01,0.33,1088
PS4,2013.0,Sony Computer Entertainment Europe,0.43,0.67,0.42,0.15,1.67,1089
NES,1989.0,Capcom,0.91,0.3,0.42,0.04,1.67,1091
GB,1988.0,Capcom,0.82,0.23,0.35,0.03,1.43,1091
GBA,2001.0,THQ,0.59,0.95,0.03,0.1,1.67,1093
PS2,2002.0,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.32,1093
PC,2013.0,Activision,0.82,0.65,0.0,0.19,1.67,1094
XB,2003.0,Microsoft Game Studios,0.97,0.59,0.04,0.07,1.67,1095
PS2,2001.0,Midway Games,1.13,0.32,0.0,0.22,1.67,1096
XB,2002.0,Midway Games,0.25,0.07,0.0,0.01,0.34,1096
GC,2002.0,Midway Games,0.16,0.04,0.0,0.01,0.2,1096
PS2,2003.0,Electronic Arts,1.35,0.09,0.0,0.23,1.67,1097
XB,2003.0,Electronic Arts,0.4,0.02,0.0,0.02,0.43,1097
GC,2003.0,Electronic Arts,0.12,0.03,0.0,0.0,0.15,1097
PS2,2003.0,THQ,1.08,0.45,0.0,0.14,1.67,1098
GBA,2003.0,THQ,0.88,0.33,0.0,0.02,1.23,1098
GC,2003.0,THQ,0.74,0.19,0.0,0.03,0.95,1098
XB,2003.0,THQ,0.45,0.1,0.0,0.02,0.57,1098
PS4,2015.0,Warner Bros. Interactive Entertainment,0.63,0.66,0.11,0.26,1.66,1099
XOne,2015.0,Warner Bros. Interactive Entertainment,0.43,0.3,0.01,0.07,0.81,1099
PC,2015.0,Warner Bros. Interactive Entertainment,0.11,0.06,0.0,0.02,0.18,1099
PS3,2007.0,Sony Computer Entertainment,0.57,0.73,0.06,0.3,1.66,1100
GEN,1992.0,Sega,1.0,0.3,0.31,0.04,1.66,1101
PS2,2000.0,Electronic Arts,0.78,0.61,0.06,0.2,1.66,1102
PS3,2012.0,Electronic Arts,0.35,0.42,0.02,0.14,0.93,1102
X360,2012.0,Electronic Arts,0.38,0.28,0.0,0.06,0.72,1102
PS2,2004.0,Midway Games,0.81,0.63,0.0,0.21,1.66,1104
XB,2004.0,Midway Games,0.37,0.11,0.0,0.02,0.51,1104
X360,2006.0,Electronic Arts,0.76,0.7,0.02,0.18,1.66,1105
PS2,2006.0,Electronic Arts,1.22,0.05,0.05,0.01,1.34,1105
Wii,2006.0,Electronic Arts,0.46,0.66,0.02,0.15,1.29,1105
PS3,2006.0,Electronic Arts,0.49,0.52,0.03,0.21,1.26,1105
XB,2006.0,Electronic Arts,0.35,0.1,0.0,0.02,0.47,1105
GC,2006.0,Electronic Arts,0.27,0.07,0.0,0.01,0.35,1105
PC,2006.0,Electronic Arts,0.0,0.04,0.0,0.01,0.05,1105
PS2,2002.0,Electronic Arts,1.25,0.15,0.03,0.22,1.66,1106
XB,,Electronic Arts,0.31,0.04,0.0,0.01,0.36,1106
GC,,Electronic Arts,0.23,0.06,0.0,0.01,0.3,1106
PS2,2005.0,Atari,0.96,0.12,0.54,0.04,1.66,1107
2600,1981.0,Atari,1.54,0.1,0.0,0.02,1.65,1108
GC,2004.0,Nintendo,0.9,0.11,0.6,0.05,1.65,1109
SNES,1991.0,Nintendo,1.06,0.38,0.15,0.05,1.65,1110
Wii,2011.0,Namco Bandai Games,0.48,0.68,0.33,0.16,1.65,1111
X360,2008.0,Electronic Arts,1.09,0.38,0.02,0.16,1.65,1113
PS3,2008.0,Electronic Arts,0.74,0.26,0.02,0.15,1.17,1113
DS,2007.0,Square Enix,0.32,0.02,1.27,0.03,1.64,1114
GBA,2004.0,Nintendo,0.8,0.05,0.76,0.03,1.64,1115
Wii,2011.0,Disney Interactive Studios,0.76,0.72,0.0,0.16,1.64,1116
X360,2011.0,Disney Interactive Studios,0.54,0.42,0.0,0.1,1.07,1116
PS3,2011.0,Disney Interactive Studios,0.36,0.46,0.0,0.17,0.99,1116
DS,2011.0,Disney Interactive Studios,0.37,0.49,0.0,0.1,0.96,1116
3DS,2011.0,Disney Interactive Studios,0.29,0.28,0.0,0.06,0.62,1116
PSP,2011.0,Disney Interactive Studios,0.11,0.15,0.0,0.08,0.34,1116
PC,2011.0,Disney Interactive Studios,0.02,0.0,0.0,0.0,0.03,1116
2600,1982.0,Atari,1.52,0.1,0.0,0.02,1.64,1117
NES,1985.0,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,1117
PS,1999.0,Red Storm Entertainment,0.93,0.63,0.0,0.08,1.64,1118
N64,1999.0,Red Storm Entertainment,0.48,0.15,0.0,0.01,0.64,1118
NES,1986.0,Capcom,0.74,0.26,0.61,0.03,1.64,1119
PS2,2002.0,Electronic Arts,0.8,0.63,0.0,0.21,1.64,1120
XB,2002.0,Electronic Arts,0.35,0.08,0.0,0.01,0.44,1120
GC,2002.0,Electronic Arts,0.18,0.05,0.0,0.01,0.23,1120
PS2,2005.0,Electronic Arts,1.44,0.15,0.0,0.05,1.64,1121
PS2,2004.0,Ubisoft,0.54,0.88,0.0,0.22,1.64,1122
XB,2004.0,Ubisoft,0.48,0.28,0.0,0.04,0.8,1122
GC,2004.0,Ubisoft,0.15,0.04,0.0,0.01,0.2,1122
X360,2010.0,Microsoft Game Studios,1.02,0.48,0.0,0.14,1.64,1123
PS4,2015.0,Sony Computer Entertainment Europe,0.44,0.89,0.05,0.25,1.64,1124
X360,2006.0,Microsoft Game Studios,0.45,0.96,0.02,0.2,1.63,1126
PC,2007.0,Microsoft Game Studios,0.0,0.02,0.0,0.0,0.02,1126
GC,2001.0,Nintendo,0.78,0.25,0.56,0.04,1.63,1127
PS3,2011.0,Sega,0.6,0.73,0.02,0.28,1.63,1129
X360,2011.0,Sega,0.71,0.57,0.0,0.14,1.42,1129
3DS,2011.0,Sega,0.44,0.46,0.01,0.09,1.01,1129
PC,2011.0,Sega,0.02,0.07,0.0,0.02,0.11,1129
PS2,2003.0,Electronic Arts,1.18,0.34,0.0,0.1,1.63,1130
XB,2003.0,Electronic Arts,0.47,0.13,0.0,0.02,0.62,1130
GBA,2003.0,Electronic Arts,0.13,0.05,0.0,0.0,0.18,1130
GC,2003.0,Electronic Arts,0.12,0.03,0.0,0.0,0.16,1130
